Nombre;Descripción;Tipo de datos;Tipo de información;Valor para anticorrupción;Existe en Colombia;Enlace;Entidad productora
Registro de cabilderos;Datos que permiten identificar y describir a las personas y organizaciones que actúan como cabilderos (es decir, representan o actúan en nombre de determinado grupo).;Registro;Individuos/organizaciones;Prevención,Detección;No;;Congreso de la República
Declaración de Intereses;Repositorio de datos con información suficiente y detallada sobre los intereses financieros y no financieros de los servidores públicos, legisladores, jueces y figuras públicas relevantes. Dichos datos pueden evitar que los intereses declarados interfieran con el mandato, las actividades o las decisiones de los funcionarios públicos.;Registro;Individuos/organizaciones;Detección,Investigación;Parcial;;"SIGEP (Información dervidada del formato de bienes y rentas - formato no estructurado)
Congreso de la República 
Servidores de elección popular"
Registro de compañías;Conjunto de datos que identifica a todas las empresas legalmente registradas para operar dentro de una jurisdicción.;Registro;Individuos/organizaciones;Detección,Investigación;Si;https://datos.gov.co/browse?q=SECTOR%20REAL&sortBy=relevance;Superintendencia de Sociedades
Registro de organizaciones benéficas;Repositorio de datos sobre cada organización benéfica o sin fines de lucro legalmente registrada para operar dentro de una jurisdicción y que podría acceder a un estado fiscal o fiscal específico.;Registro;Individuos/organizaciones;Detección,Investigación;Parcial;http://secretariageneral.gov.co/transparencia/estructura-organica/directorio-entidades-asociaciones-y-agremiaciones-sin-%C3%A1nimo-lucro;DIAN - Entidades sin ánimo de lucro régimen tributario especial.
Servidores públicos que intervienen en procesos de contratación;Lista de puestos dentro del gobierno que, en función de su mandato, pueden ser propensos o sensibles a la corrupción, como la contratación pública.;Registro;Individuos/organizaciones;Prevención,Detección;No;;DAFP
Personas políticamente expuestas;;Registro;Individuos/organizaciones;Prevención,Detección;;;
Registro servidores públicos;Una lista de individuos a quienes se les ha confiado una función prominente;Registro;Individuos/organizaciones;Prevención,Detección;No;;DAFP -SIGEP
Lista de contratistas de gobierno;Registro de todos los contratistas que tienen o han tenido contratos con el gobierno, y detalles de cualquier sanción que hayan recibido.;Registro;Individuos/organizaciones;Detección,Prevención,Investigación;Si;https://www.datos.gov.co/Gastos-Gubernamentales/SECOP-II-Contratos/gnxj-bape;"Colombia Compra Eficiente 
SIGEP"
Consejos consultivos de gobierno;Repositorio de datos que identifica cada consejo asesor o junta directiva al gobierno. Dentro de estos espacios, los individuos y las organizaciones regularmente brindan recomendaciones a los funcionarios del gobierno sobre aspectos políticos específicos. Es clave que tales registros incluyan datos sobre sus miembros, fechas de reuniones, informes discutidos.;Registro;Individuos/organizaciones;Prevención,Detección;Parcial;;"Presidencia
SIGEP"
Financiamiento a partidos políticos;Repositorio de datos que permite identificar las fuentes de financiación y los donantes de políticos, partidos políticos y organizaciones similares, incluidos los datos sobre las subvenciones o pagos recibidos. Este repositorio también debe incluir datos sobre el gasto de dichos recursos para verificar su uso correcto de acuerdo con las reglas electorales en una jurisdicción determinada, como los gastos de campaña.;Divulgación pública;Recursos públicos;Prevención,Detección,Investigación;No;;Consejo Nacional Electoral
Presupuesto;Repositorio de datos que organiza, clasifica y describe los ingresos previstos y los gastos planificados de una determinada unidad de gobierno o las unidades totales de un gobierno, durante un período de tiempo específico. Estos conjuntos de datos normalmente se rigen por reglas y normas de responsabilidad del gobierno.;Divulgación pública;Recursos públicos;Detección,Investigación;Si;https://www.datos.gov.co/Econom-a-y-Finanzas/Ejecuci-n-comparada-de-Gastos-del-Presupuesto-Gene/r7pp-8p9p;Ministerio de Hacienda y DNP
